method,split,n_seeds,mean_reward_mean,mean_reward_std,mean_transfer_mean,mean_transfer_std,mean_spill_mean,mean_spill_std,success_rate_mean,success_rate_std,n_failed_episodes_mean,n_failed_episodes_std,n_failed_episodes_sum
m1_reactive,id_sand,3,24185.97901052839,1490.9139159478568,0.6406057098765433,0.07993321151134095,0.2490933641975309,0.06612869840150122,1.0,0.0,0.0,0.0,0
m1_reactive,ood_elastoplastic,3,2187.7632980206736,2932.673544135908,0.45999616637914514,0.39984925378626146,0.5400038336208549,0.39984925378626146,0.5,0.408248290463863,0.0,0.0,0
m1_reactive,ood_sand_hard,3,24053.249156894035,1479.6662767406,0.6231481481481481,0.07427726099208173,0.25810185185185186,0.06615807628129504,1.0,0.0,0.0,0.0,0
m1_reactive,ood_sand_soft,3,23942.780154984735,2082.9661011271587,0.6871527777777778,0.10744843265830833,0.20476466049382713,0.07164380418213591,1.0,0.0,0.0,0.0,0
m1_reactive,ood_snow,3,20307.892402266,6824.5960256596,0.5589891975308642,0.22804686863424856,0.4168016975308642,0.231832109706473,0.8333333333333334,0.23570226039551584,0.0,0.0,0
m7_nobelief,id_sand,3,16860.48451383904,11492.824050079525,0.469483024691358,0.2323544319844251,0.3468942901234568,0.2182072913239389,0.6666666666666666,0.4714045207910317,0.0,0.0,0
m7_nobelief,ood_elastoplastic,3,1171.770229062246,1094.04896197614,0.46279470960322033,0.400510973720292,0.5372052903967798,0.40051097372029193,0.4666666666666666,0.4109609335312651,0.0,0.0,0
m7_nobelief,ood_sand_hard,3,16704.61585003683,11403.626764373032,0.4417438271604939,0.21797506450257934,0.36494984567901234,0.1992693823579119,0.6666666666666666,0.4714045207910317,0.0,0.0,0
m7_nobelief,ood_sand_soft,3,16602.310046533483,11388.439464074045,0.416358024691358,0.22032556659790273,0.39801311728395056,0.20014861901662834,0.6666666666666666,0.4714045207910317,0.0,0.0,0
m7_nobelief,ood_snow,3,17159.097708630226,11890.027570831633,0.496971450617284,0.3011456393619691,0.39685570987654323,0.3013699586878305,0.6666666666666666,0.4714045207910317,0.0,0.0,0
m7_noprobe,id_sand,3,15964.969901088372,10687.377706489562,0.3484182098765432,0.0873060971735154,0.45092592592592595,0.13882150982649055,0.6666666666666666,0.4714045207910317,0.0,0.0,0
m7_noprobe,ood_elastoplastic,3,217.9024036550887,562.8841566307149,0.3314165229058846,0.4678807432804467,0.5169829403871956,0.40570749727464606,0.3333333333333333,0.4714045207910317,0.0,0.0,0
m7_noprobe,ood_sand_hard,3,15966.331812373437,10806.385559527436,0.3458719135802469,0.10903377079367325,0.43576388888888884,0.12755095244800496,0.6666666666666666,0.4714045207910317,0.0,0.0,0
m7_noprobe,ood_sand_soft,3,15934.482599529962,10922.491729298845,0.33078703703703705,0.12733009693634736,0.4641975308641975,0.10796678135276769,0.6666666666666666,0.4714045207910317,0.0,0.0,0
m7_noprobe,ood_snow,3,7400.6398402012055,9608.928447268721,0.22804783950617283,0.11091313394182636,0.5486111111111112,0.19255941744666605,0.3333333333333333,0.4714045207910317,0.0,0.0,0
m7_pta,id_sand,3,21286.95547386934,4194.648101902349,0.4192515432098765,0.09079451488988587,0.468479938271605,0.11695022306569669,0.9333333333333332,0.09428090415820632,0.0,0.0,0
m7_pta,ood_elastoplastic,3,2991.5490789554024,3285.0682991377757,0.6070921985815603,0.4327261917579271,0.39290780141843973,0.4327261917579271,0.6666666666666666,0.4714045207910317,0.0,0.0,0
m7_pta,ood_sand_hard,3,24589.24070664865,108.26825113730587,0.4880787037037037,0.09940367762009542,0.3966435185185185,0.13180748963540856,1.0,0.0,0.0,0.0,0
m7_pta,ood_sand_soft,3,24286.726408955965,275.484714250877,0.4650270061728395,0.059453506155607516,0.42677469135802465,0.09704001625392975,1.0,0.0,0.0,0.0,0
m7_pta,ood_snow,3,16977.819903279036,11336.998189580754,0.4260416666666667,0.18417699735819715,0.5608410493827161,0.19367130435978572,0.6666666666666666,0.4714045207910317,0.0,0.0,0
m8_teacher,id_sand,1,23931.338715950944,0.0,0.6458912037037037,0.0,0.27436342592592594,0.0,1.0,0.0,0.0,0.0,0
m8_teacher,ood_elastoplastic,1,-87.32961189966409,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
m8_teacher,ood_sand_hard,1,23822.636125931163,0.0,0.6244212962962963,0.0,0.2949074074074074,0.0,1.0,0.0,0.0,0.0,0
m8_teacher,ood_sand_soft,1,23192.302586585247,0.0,0.5295138888888888,0.0,0.37175925925925923,0.0,1.0,0.0,0.0,0.0,0
m8_teacher,ood_snow,1,23482.423175340587,0.0,0.6107060185185186,0.0,0.3184606481481481,0.0,1.0,0.0,0.0,0.0,0
